ФИО,Диссертационный совет,Название диссертации,Дата защиты диссертации,Специальность,1 Научный руководитель (консультант),2 Научный руководитель (консультант),Год защиты,Искомая степень,Информация о лишении степени,Примечания
Попов Сергей Валерьевич,Д 215.002.05,Оптимизация эндоскопических методов лечения при заболеваниях верхних мочевыводящих путей и почек (клинико–экспериментальное исследование),25.09.2014,14.01.23 – урология,Новиков А.И.,–,2014,,,
Селезнева Арина Игоревна,Д 215.002.07,"Противоишемические, кардиопротективные и антигипертензивные свойства нового антиоксидантного препарата Валеокор-Q10 (экспериментальное исследование)",24.09.2013,"14.03.06 – фармакология, клиническая фармакология",Дьячук Георгий Иванович,-,2013,,,
Газизова Ильмира Рифовна ,Д 215.002.09,Новые аспекты патогенеза глаукомной оптической нейропатии,23.12.2013,"14.01.07 – глазные болезни
14.03.02 – патологическая анатомия",Алексеев Владимир Николаевич,Аничков Николай Мильевич,2013,,,
Ярцев Александр Игоревич,Д 215.002.09,Клинико-лабораторная оценка эффективности лечения больных острым тонзиллитом и паратонзиллярным абсцессом,11.11.2013,"14.01.03 – болезни уха, горла и носа",Бакулина Лариса Сергеевна,-,2013,,,
Милютин Сергей Геннадьевич,Д 215.002.03,Психофизиологическое обоснование критериев профессионального отбора студентов-фармацевтов и прогнозирование успешности их деятельности,26.11.2013,19.00.02 – психофизиология,Сысоев Владимир Николаевич,-,2013,,,
Ахмадуллина Юлия Александровна,Д 215.002.08,Клинико-лабораторная характеристика клеточных элементов периферической крови и функционального состояния эндотелия у женщин с бактериальным вагинозом,24.09.2013,14.03.10 – клиническая лабораторная диагностика,Гильманов Александр Жанович,-,2013,,,
Гришин Олег Валерьевич,Д 215.002.06,Неотложные состояния при повышении артериального давления и возможности дифференцированного подхода к оказанию скорой медицинской помощи,16.12.2013,14.01.05 – кардиология,Руксин Виктор Викторович,-,2013,,,
Шальнев Владимир Ильич,Д 215.002.06,Острый коронарный синдром: клинико-иммунологические взаимосвязи и возможности коррекции нарушений цитокиновой регуляции,16.12.2013,14.01.05 – кардиология,Мазуров Вадим Иванович,-,2013,,,
Богданова Елена Александровна,Д 215.002.06,Особенности ишемии миокарда и перфузии сердечной мышцы у больных сахарным диабетом 2 типа в сочетании с ишемической болезнью сердца,02.12.2013,14.01.04 – внутренние болезни,Шустов Сергей Борисович,-,2013,,,
Лукина Ольга Васильевна,Д 215.002.11,Значение лучевого исследования в диагностике нарушений кровообращения в легочной ткани у больных с хронической обструктивной болезнью легких,01.11.2013,"14.01.13 – лучевая диагностика, лучевая терапия",Амосов Виктор Иванович,-,2013,,,
Жданюк Игорь Владимирович,Д 215.002.09,Клиническая и экономическая эффективность стоматологических лечебно-профилактических мероприятий перед зубным протезированием,16.09.2013,"14.01.14 – стоматология 
14.02.03 – общественное здоровье и здравоохранение",Иорданишвили Андрей Константинович,Мироненко Александр Николаевич,2013,,,
Тотолян Анна Ареговна,Д 215.002.11,МРТ диагностика изменений головного мозга при симптоматической эпилепсии с дебютом в детском возрасте,27.09.2013,"14.01.13 – лучевая диагностика, лучевая терапия",Трофимова Татьяна Николаевна,-,2013,,,
Сливкин Антон Анатольевич,Д 215.002.09,"Изучение стоматологической заболеваемости военнослужащих по призыву, вновь прибывших в воинскую часть",07.10.2013,14.01.14 – стоматология,Гребнев Геннадий Александрович,-,2013,,,
Диденко Максим Викторович,Д 215.002.10,Лечение больных с нарушением внутрисердечной проводимости с помощью физиологичной электрокардиостимуляции,23.09.2013,14.01.26 – сердечно–сосудистая хирургия,Хубулава Геннадий Григорьевич,-,2013,,,
Перегонцева Ольга Сергеевна ,Д 215.002.11,Совершенствование диагностического алгоритма при хронических вирусных гепатитах с применением малоинвазивной биоимпедансометрии,01.11.2013,"14.01.13 – лучевая диагностика, лучевая терапия 
14.01.09 – инфекционные болезни",Борсуков Алексей Васильевич,Храмцов Михаил Михайлович,2013,,,
Гайсина Лейля Рафаэлевна,Д 215.002.06,Нарушение парциальных функций почек у детей и подростков с ожирением,11.11.2013,14.01.02 – эндокринология,Валеева Фарида Вадутовна,-,2013,,,
Антонова Наталья Сергеевна,Д 215.002.09,Диагностика и лечение детей с аномалиями развития и приобретенными деформациями челюстно-лицевой области и сопутствующей дисплазией соединительной ткани,07.10.2013,"14.01.14 – стоматология 
14.01.08 – педиатрия",Семенов Михаил Георгиевич,Кадурина Тамара Ивановна,2013,,,
Лазнам Самир Салех,Д 215.002.06,Анализ эффективности традиционных подходов к оценке риска ишемической болезни сердца,02.12.2013,14.01.05 – кардиология,Берштейн Леонид Львович,-,2013,,,
Кондратьева Анна Анатольевна,Д 215.002.09,Влияние транскраниальной электростимуляции на процессы ранозаживления после оперативных вмешательств на тканях пародонта,16.09.2013,14.01.14 – стоматология,Мороз Борис Терентьевич,-,2013,,,
Дёмшина Татьяна Евгеньевна,Д 215.002.11,Роль и место радионуклидного метода исследования в диагностике злокачественных новообразований молочной железы,27.09.2013,"14.01.13 – лучевая диагностика, лучевая терапия",Рязанов Владимир Викторович,-,2013,,,
Федорова Наталия Сергеевна,Д 215.002.11,Возможности лучевых методов исследования в диагностике и контроле лечения пострадавших с импрессионно-раскалывающими переломами мыщелков большеберцовой кости,27.09.2013,"14.01.13 – лучевая диагностика, лучевая терапия",Труфанов Геннадий Евгеньевич,-,2013,,,
Добровольская Алла Евгеньевна,Д 215.002.04,"Анализ социально-демографических и клинических характеристик больных шизофренией с сопутствующей аддиктивной патологией, госпитализированных в психиатрический и многопрофильный стационары",14.10.2013,14.01.06 – психиатрия,Софронов Александр Генрихович,-,2013,,,
Долгий Алексей Алексеевич,Д 215.002.12,Эпидемиологические особенности формирования госпитальных штаммов в урологических отделениях,25.06.2013,14.02.02 – эпидемиология,Зуева Людмила Павловна,-,2013,,,
Шайдуллина Мария Рустемовна,Д 215.002.06,"Диабетическая автономная кардиоваскулярная нейропатия у детей и подростков Республики Татарстан, страдающих сахарным диабетом 1 типа",11.11.2013,14.01.02 – эндокринология,Валеева Фарида Вадутовна,-,2013,,,
Мосийчук Лариса Васильевна,Д 215.002.12,Комплексное гигиеническое обоснование нутриционно - метаболической коррекции избыточной массы тела и ожирения ,20.09.2013,14.02.01 – гигиена,Доценко Владимир Антонович,-,2013,,,
Бондаренко Виталий Сергеевич,Д 215.002.06,Ремоделирование сердца при различных вариантах вегетативного сопровождения стресса у больных артериальной гипертензией и в эксперименте у животных (клинико-экспериментальное исследование),21.10.2013,14.01.04 – внутренние болезни,Вебер Виктор Робертович,-,2013,,,
Виноградов Александр Иванович,Д 215.002.06,Влияние антигипертензивной терапии на суточную динамику артериального давления у больных артериальной гипертензией женщин с различным психоэмоциональным фоном,21.10.2013,14.01.04 – внутренние болезни,Вебер Виктор Робертович,-,2013,,,
